ACTIVITY_ID,EXTERNAL_PERMIT_NMBR,VERSION_NMBR,PERM_FEATURE_ID,PERM_FEATURE_NMBR,PERM_FEATURE_TYPE_CODE,LIMIT_SET_ID,LIMIT_SET_DESIGNATOR,LIMIT_SET_NAME,DMR_COMMENT_TEXT,LIMIT_SET_SCHEDULE_ID,LIMIT_SET_STATUS_FLAG,LIMIT_ID,LIMIT_BEGIN_DATE,LIMIT_END_DATE,NMBR_OF_SUBMISSION,NMBR_OF_REPORT,PARAMETER_CODE,PARAMETER_DESC,MONITORING_LOCATION_CODE,STAY_TYPE_CODE,LIMIT_VALUE_ID,LIMIT_VALUE_TYPE_CODE,LIMIT_VALUE_NMBR,LIMIT_UNIT_CODE,LIMIT_UNIT_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,LIMIT_VALUE_STANDARD_UNITS,STATISTICAL_BASE_CODE,STATISTICAL_BASE_TYPE_CODE,LIMIT_VALUE_QUALIFIER_CODE,STAY_VALUE_NMBR,LIMIT_TYPE_CODE,OPTIONAL_MONITORING_FLAG,LIMIT_SAMPLE_TYPE_CODE,LIMIT_FREQ_OF_ANALYSIS_CODE,ALL_MONTHS_LIMIT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LIMIT_SEASON_ID
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351872,01/01/2022,12/31/2026,3,1,00400,pH,1,,3610840344,C1,6.6,12,SU,12,SU,6.6,ME,MIN,>=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351872,01/01/2022,12/31/2026,3,1,00400,pH,1,,3610840345,C3,9,12,SU,12,SU,9,MB,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908066,06/01/2021,05/31/2026,3,1,00530,"Solids, total suspended",1,,3610129867,C3,50,19,mg/L,19,mg/L,50,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908066,06/01/2021,05/31/2026,3,1,00530,"Solids, total suspended",1,,3610129901,C2,,19,mg/L,19,mg/L,,3C,AVG,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908066,06/01/2021,05/31/2026,1,1,00530,"Solids, total suspended",1,,3610129901,C2,,19,mg/L,19,mg/L,,3C,AVG,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908066,06/01/2021,05/31/2026,1,1,00530,"Solids, total suspended",1,,3610129867,C3,50,19,mg/L,19,mg/L,50,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239978,12/01/2021,11/30/2026,1,1,00530,"Solids, total suspended",1,,3610673278,C2,30,19,mg/L,19,mg/L,30,3C,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239978,12/01/2021,11/30/2026,1,1,00530,"Solids, total suspended",1,,3610673277,C3,45,19,mg/L,19,mg/L,45,7A,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239978,12/01/2021,11/30/2026,1,1,00530,"Solids, total suspended",1,,3610673280,Q1,1669,26,lb/d,01,kg/d,757.72599363,3C,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606239978,12/01/2021,11/30/2026,1,1,00530,"Solids, total suspended",1,,3610673279,Q2,2504,26,lb/d,01,kg/d,1136.81599045,7A,AVG,<=,,ENF,N,12,05/WK,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351871,01/01/2022,12/31/2026,3,1,00530,"Solids, total suspended",1,,3610840341,Q2,,26,lb/d,01,kg/d,,DD,MAX,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351871,01/01/2022,12/31/2026,3,1,00530,"Solids, total suspended",1,,3610840343,C3,30,19,mg/L,19,mg/L,30,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351871,01/01/2022,12/31/2026,3,1,00530,"Solids, total suspended",1,,3610840342,C2,20,19,mg/L,19,mg/L,20,MK,AVG,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602944933,NM0028762,0,3600602070,001,EXO,3600657420,A,DISCHARGE BACKWASH WATER,WHEN DISCHARGING.,3600904607,A,3606351871,01/01/2022,12/31/2026,3,1,00530,"Solids, total suspended",1,,3610840340,Q1,,26,lb/d,01,kg/d,,MK,AVG,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606350737,12/01/2021,11/30/2026,1,1,00720,"Cyanide, total [as CN]",1,,3610838794,C3,22,28,ug/L,19,mg/L,.022,DD,MAX,<=,,ENF,N,GR,02/30,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606350737,12/01/2021,11/30/2026,1,1,00720,"Cyanide, total [as CN]",1,,3610838793,C2,14.67,28,ug/L,19,mg/L,.01467,3C,AVG,<=,,ENF,N,GR,02/30,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606350737,12/01/2021,11/30/2026,1,1,00720,"Cyanide, total [as CN]",1,,3610838791,Q1,.817,26,lb/d,01,kg/d,.370918,3C,AVG,<=,,ENF,N,GR,02/30,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600645646,A,TREATED MUNICIPAL WASTEWATER,TOTAL DISSOLVED SOLIDS (TDS) MEASURED AT OUTFALL 001.  REPORT THE GEOMETRIC MEAN VALUE OF THE WEEKLY VALUES.,3600891019,A,3606350737,12/01/2021,11/30/2026,1,1,00720,"Cyanide, total [as CN]",1,,3610838792,Q2,1.225,26,lb/d,01,kg/d,.55615,DD,MAX,<=,,ENF,N,GR,02/30,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908068,06/01/2021,05/31/2026,3,1,00900,"Hardness, total [as CaCO3]",1,,3610129870,C3,,19,mg/L,19,mg/L,,DD,MAX,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908068,06/01/2021,05/31/2026,1,1,00900,"Hardness, total [as CaCO3]",1,,3610129870,C3,,19,mg/L,19,mg/L,,DD,MAX,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602878711,NM0020583,0,3600584104,001,EXO,3600657304,Q,QUARTERLY REPORTING - OUTFALL 001,,3600904358,A,3606350738,12/01/2021,11/30/2026,3,3,01027,"Cadmium, total [as Cd]",1,,3610838795,C3,,28,ug/L,19,mg/L,,7A,AVG,,,ENF,N,GR,01/90,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
