NPDES_ID,VERSION_NMBR,ACTIVITY_ID,NPDES_VIOLATION_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,VIOLATION_TYPE_CODE,VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_DESC,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
NM0000116,1,20044287,200000806,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",01022,"Boron, total [as B]",19,mg/L,02/28/2006,1,,,,,,,20209087,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0028762,3,3600771189,3659651870,001,3600771189,Q,1,3662550707,,3736678114,3673076174,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2021,3,,,,04/08/2021,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2022,DD,N,DAILY MX
NM0020583,1,20044319,21433318,001,20044319,A,1,58086538,33.65,43873758,27617307,,,30,,,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,02/28/2001,1,12,,,03/19/2001,4,,20210287,33.65,C2,C,Chronic Violation,03/31/2001,2,RE - Back into Compliance,06/30/2001,3C,A,30DA AVG
NM0020583,2,20044318,1400687341,001,20044318,A,A,58084879,.02,1401685620,1400955603,,,.019,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,12/31/2008,1,5,=,,01/15/2009,,,20210279,.02,C3,H,"Chronic Violation, Non-Monthly Average",02/28/2009,2,RE - Back into Compliance,01/31/2010,IA,N,INST MAX
NM0020583,2,20044318,1400687341,001,20044318,A,A,58084879,.02,1401685620,1400955603,,,.019,PRMTVL,Violation Of A Permit Requirement,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,12/31/2008,1,5,=,,01/15/2009,,,20210279,.02,C3,H,"Chronic Violation, Non-Monthly Average",02/28/2009,2,RE - Back into Compliance,01/31/2010,IA,N,INST MAX
NM0028762,3,3600771189,3661982914,001,3600771189,A,1,3854807973,32,3750280637,3680149695,,,30,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,09/30/2021,1,7,=,19,10/19/2021,,,3601482267,32,C3,,,,,,,DD,N,DAILY MX
NM0028762,3,3600771189,3661982914,001,3600771189,A,1,3854807973,32,3750280637,3680149695,,,30,NODMR,Failure To Submit DMR,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,09/30/2021,1,7,=,19,10/19/2021,,,3601482267,32,C3,,,,,,,DD,N,DAILY MX
NM0020583,2,20044318,601210679,001,20044318,A,A,58084739,.02,600313879,600178622,,,.019,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,08/31/2006,1,5,=,,09/15/2006,,,20210279,.02,C3,,,,,,,IA,N,INST MAX
NM0020583,2,20044318,1400021218,001,20044318,A,1,58085574,732,1400039016,1400021221,,,200,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",74055,"Coliform, fecal general",30,MPN/100mL,07/31/2008,1,266,=,,08/15/2008,,,20210283,732,C3,,,,,,,DD,N,DAILY MX
NM0020583,2,20044318,1400021218,001,20044318,A,1,58085574,732,1400039016,1400021221,,,200,PRMTVL,Violation Of A Permit Requirement,E90,"DMR, Limited - Numeric Violation",74055,"Coliform, fecal general",30,MPN/100mL,07/31/2008,1,266,=,,08/15/2008,,,20210283,732,C3,,,,,,,DD,N,DAILY MX
NM0000116,1,20044287,200000809,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",01022,"Boron, total [as B]",19,mg/L,03/31/2006,1,,,,,,,20209087,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0000116,2,20044286,2200766584,001,20044286,A,1,57973699,,2602330261,2601309533,C,,50,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,08/31/2010,1,,=,,05/27/2011,211,,20209072,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2010,2,RE - Back into Compliance,05/27/2011,DD,N,DAILY MX
NM0028762,3,3600771189,3630048036,001,3600771189,Q,1,3662550634,,3629536003,3616604518,8,,,,,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,09/30/2016,3,,,,09/28/2017,335,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,11/28/2016,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),11/28/2018,MK,A,MO AVG
NM0020583,1,20044319,21433358,001,20044319,A,1,58085818,37.58,43874288,27617163,,,30,,,E90,"DMR, Limited - Numeric Violation",00310,"BOD, 5-day, 20 deg. C",19,mg/L,02/28/2002,1,25,,,03/18/2002,3,,20210285,37.58,C2,C,Chronic Violation,03/31/2002,2,RE - Back into Compliance,07/31/2002,3C,A,30DA AVG
NM0028762,1,20044410,1400421702,001,20044410,A,1,606948076,7,1403076849,1401738588,,,6.6,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,09/30/2008,1,,=,,04/23/2009,177,,600097477,7,C1,,,,,,,ME,,MINIMUM
NM0020583,1,20044319,21433394,001,20044319,A,1,58087019,800,43874574,27617403,,,.75,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",19,mg/L,08/31/2002,1,7,,,09/17/2002,2,,20210288,.8,C3,,,,,,,7A,N,7 DA AVG
NM0028762,2,1800023151,1801441452,001,1800023151,A,1,1805555969,9.9,2201419818,1802070421,,,,,,D80,"DMR, Monitor Only - Overdue",00530,"Solids, total suspended",01,kg/d,10/31/2009,1,,=,,10/25/2010,269,,1800044065,4.49459996,Q1,N,Non-Receipt of DMR/Schedule Report,02/28/2010,2,RE - Back into Compliance,10/25/2010,MK,A,MO AVG
NM0000116,3,2200037726,3400491518,TX4,2200037726,Y,1,2205473210,,3607901375,3604420846,C,,,,,D80,"DMR, Monitor Only - Overdue",TQM3D,Coef Of Var Static Renewal 48Hr Acute D. pulex,23,%,11/30/2012,12,,=,,05/13/2015,865,,2200113542,,C2,,,,,,,MJ,,MO AV MN
NM0028762,1,20044410,2601150447,001,20044410,A,1,606948498,.91,2602599350,2601444050,,,.5,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",19,mg/L,09/30/2007,1,82,=,,09/08/2008,316,,600097487,.91,C2,,,,,,,MK,A,MO AVG
NM0028762,3,3600771189,3617539639,001,3600771189,Q,1,3662550639,,3631372706,3617634480,8,,,,,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,12/31/2016,3,,,,12/14/2016,,,3601725081,,Q2,K,"Non-receipt Violation, Non-Monthly Average",02/28/2017,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),02/28/2019,DD,N,DAILY MX
NM0000116,4,3600693178,3631819978,001,3600693178,A,1,3632001563,,3647763575,3626794250,E,,.00075,,,D90,"DMR, Limited - Overdue",01105,"Aluminum, total [as Al]",19,mg/L,09/30/2017,1,,,,10/18/2017,,,3601250770,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2017,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),11/28/2019,DD,N,DAILY MX
NM0028762,1,20044410,1400419647,001,20044410,A,1,606948404,10,1403076420,1401738337,,,20,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,07/31/2008,1,,<,,04/23/2009,177,,600097484,10,C2,N,Non-Receipt of DMR/Schedule Report,11/28/2008,2,RE - Back into Compliance,04/23/2009,MK,A,MO AVG
NM0000116,3,2200037726,2602625010,TX1,2200037726,Y,1,2205473160,,3607901438,3604420885,C,,,,,D80,"DMR, Monitor Only - Overdue",TQM3D,Coef Of Var Static Renewal 48Hr Acute D. pulex,23,%,11/30/2011,12,,=,,05/13/2015,1231,,2200113521,,C2,,,,,,,MJ,,MO AV MN
NM0000116,1,20044287,200000870,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",50050,"Flow, in conduit or thru treatment plant",03,MGD,03/31/2006,1,,,,,,,20209092,,Q2,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0000116,2,20044286,2200766458,001,20044286,A,1,57976841,,2602330287,2601309556,C,,,,,D80,"DMR, Monitor Only - Overdue",50050,"Flow, in conduit or thru treatment plant",03,MGD,07/31/2010,1,,=,,05/27/2011,211,,20209082,,Q2,K,"Non-receipt Violation, Non-Monthly Average",11/28/2010,2,RE - Back into Compliance,05/27/2011,DD,N,DAILY MX
NM0020583,3,2200016809,3403795079,001,2200016809,A,2,2203563752,470,3416803684,3409555639,,,400,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",70295,"Solids, total dissolved",19,mg/L,01/31/2014,1,18,=,19,02/13/2014,,,2200047762,470,C2,C,Chronic Violation,01/31/2014,5,RE - Resolved RP by NPDES Closure of Enf. Action Final Order with Comp. Schedule,05/02/2023,3C,A,30DA AVG
NM0028762,1,20044410,1400420592,001,20044410,A,1,606948406,2.5,2603209462,2601767273,,,20,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,08/31/2008,1,,=,,06/27/2011,972,,600097484,2.5,C2,N,Non-Receipt of DMR/Schedule Report,11/28/2008,2,RE - Back into Compliance,06/27/2011,MK,A,MO AVG
NM0028762,1,20044410,1800971595,001,20044410,A,1,1000774232,.25,2606218238,2603372669,,,,,,D80,"DMR, Monitor Only - Overdue",50050,"Flow, in conduit or thru treatment plant",03,MGD,08/31/2009,1,,=,,09/23/2011,695,,600097481,.25,Q1,N,Non-Receipt of DMR/Schedule Report,11/28/2009,2,RE - Back into Compliance,09/23/2011,MK,A,MO AVG
NM0028762,1,20044410,1800971520,001,20044410,Q,1,1000774546,360,2606218221,2603372660,,,,,,D80,"DMR, Monitor Only - Overdue",70295,"Solids, total dissolved",19,mg/L,09/30/2009,3,,=,,09/23/2011,695,,600097489,360,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2009,2,RE - Back into Compliance,09/23/2011,DD,N,DAILY MX
NM0020583,2,20044318,601282803,001,20044318,A,A,58084779,.02,601777981,601017647,,,.019,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,04/30/2007,1,5,<,,05/16/2007,1,,20210279,.02,C3,U,Other Violation with TRC Non-Monthly Average,08/31/2007,2,RE - Back into Compliance,09/30/2007,IA,N,INST MAX
NM0020583,3,2200016809,2600578725,001,2200016809,A,2,2203563650,404,2601099564,2600633625,,,400,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",70295,"Solids, total dissolved",19,mg/L,03/31/2011,1,1,=,19,04/12/2011,,,2200047762,404,C2,C,Chronic Violation,03/31/2011,2,RE - Back into Compliance,08/31/2011,3C,A,30DA AVG
NM0020583,3,2200016809,2600578725,001,2200016809,A,2,2203563650,404,2601099564,2600633625,,,400,PRMTVL,Violation Of A Permit Requirement,E90,"DMR, Limited - Numeric Violation",70295,"Solids, total dissolved",19,mg/L,03/31/2011,1,1,=,19,04/12/2011,,,2200047762,404,C2,C,Chronic Violation,03/31/2011,2,RE - Back into Compliance,08/31/2011,3C,A,30DA AVG
NM0000116,3,2200037726,2602759655,001,2200037726,A,1,,,,,,,.00075,,,D90,"DMR, Limited - Overdue",01105,"Aluminum, total [as Al]",19,mg/L,12/31/2011,1,,,,,,,2200113509,,C3,K,"Non-receipt Violation, Non-Monthly Average",02/28/2012,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),02/28/2014,DD,N,DAILY MX
NM0000116,2,20044286,2200766520,001,20044286,A,1,57974644,,2602330264,2601309536,C,,,,,D80,"DMR, Monitor Only - Overdue",01027,"Cadmium, total [as Cd]",19,mg/L,08/31/2010,1,,=,,05/27/2011,211,,20209075,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2010,2,RE - Back into Compliance,05/27/2011,DD,N,DAILY MX
NM0020583,4,3600830134,3635750494,001,3600830134,A,1,3664421396,108,3655419277,3631106401,,,30,NOPRMT,"Discharge, Emission Or Activity WO Required Permit",E90,"DMR, Limited - Numeric Violation",00310,"BOD, 5-day, 20 deg. C",19,mg/L,02/28/2018,1,260,=,19,03/14/2018,,,3601680586,108,C2,T,TRC Limitations Exceeded,02/28/2018,2,RE - Back into Compliance,05/31/2018,3C,A,30DA AVG
NM0020583,4,3600830134,3635750494,001,3600830134,A,1,3664421396,108,3655419277,3631106401,,,30,SSO,Sanitary Sewer Overflows,E90,"DMR, Limited - Numeric Violation",00310,"BOD, 5-day, 20 deg. C",19,mg/L,02/28/2018,1,260,=,19,03/14/2018,,,3601680586,108,C2,T,TRC Limitations Exceeded,02/28/2018,2,RE - Back into Compliance,05/31/2018,3C,A,30DA AVG
NM0020583,4,3600830134,3635750504,001,3600830134,A,1,3664421411,24196,3655419305,3631106410,,,235,NOPRMT,"Discharge, Emission Or Activity WO Required Permit",E90,"DMR, Limited - Numeric Violation",51040,E. coli,30,MPN/100mL,02/28/2018,1,99999,>,3Z,03/14/2018,,,3601680592,24196,C3,,,,,,,DD,N,DAILY MX
NM0020583,4,3600830134,3635750504,001,3600830134,A,1,3664421411,24196,3655419305,3631106410,,,235,SSO,Sanitary Sewer Overflows,E90,"DMR, Limited - Numeric Violation",51040,E. coli,30,MPN/100mL,02/28/2018,1,99999,>,3Z,03/14/2018,,,3601680592,24196,C3,,,,,,,DD,N,DAILY MX
NM0028762,1,20044410,1800971640,001,20044410,A,1,1000774190,10,2606218226,2603372662,,,30,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,07/31/2009,1,,<,,09/23/2011,695,,600097484,10,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2009,2,RE - Back into Compliance,09/23/2011,DD,N,DAILY MX
NM0020583,2,20044318,601210678,001,20044318,A,A,58084734,.02,600056598,600030339,,,.019,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,07/31/2006,1,5,=,,08/15/2006,,,20210279,.02,C3,,,,,,,IA,N,INST MAX
NM0020583,3,2200016809,3601088898,SLL,2200016809,A,T,2203563080,,3631452478,3617679368,C,,,,,D80,"DMR, Monitor Only - Overdue",84368,Level of pathogen requirements achieved,3W,state class,12/31/2014,12,,,,12/16/2016,666,,2200047781,,C3,K,"Non-receipt Violation, Non-Monthly Average",03/22/2015,2,RE - Back into Compliance,12/16/2016,M0,N,MX VALUE
NM0020583,1,20044319,21433485,001,20044319,A,1,58087055,25.35,43874930,27617411,,,10.9868,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",01,kg/d,04/30/2003,1,5,,,05/19/2003,4,,20210288,11.5089,Q1,C,Chronic Violation,04/30/2003,2,RE - Back into Compliance,07/31/2003,3C,A,30DA AVG
NM0020583,1,20044319,21433449,001,20044319,A,1,58086659,50.66,43874839,27617331,,,45,,,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,02/28/2003,1,13,,,03/17/2003,2,,20210287,50.66,C3,,,,,,,7A,N,7 DA AVG
NM0028762,1,20044410,1400421704,001,20044410,A,1,606948408,2.5,1403076851,1401738589,,,20,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,09/30/2008,1,,=,,04/23/2009,177,,600097484,2.5,C2,N,Non-Receipt of DMR/Schedule Report,11/28/2008,2,RE - Back into Compliance,04/23/2009,MK,A,MO AVG
NM0020583,1,20044319,21433384,001,20044319,A,A,58087784,.94,43874449,27617556,,,.099,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,05/31/2002,1,849,,,06/18/2002,3,,20210291,.94,C3,R,"TRC Limitations Exceeded, Non-Monthly Average",05/31/2002,2,RE - Back into Compliance,06/30/2002,IA,N,INST MAX
NM0020583,3,2200016809,3403075770,001,2200016809,A,2,2203563743,444,3413179944,3407553310,,,400,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",70295,"Solids, total dissolved",19,mg/L,10/31/2013,1,11,=,19,11/14/2013,,,2200047762,444,C2,C,Chronic Violation,10/31/2013,5,RE - Resolved RP by NPDES Closure of Enf. Action Final Order with Comp. Schedule,05/02/2023,3C,A,30DA AVG
NM0028762,2,1800023151,2200094456,001,1800023151,A,1,1805556011,,1806928598,1803911434,C,,.019,,,D90,"DMR, Limited - Overdue",50060,"Chlorine, total residual",19,mg/L,06/30/2010,1,,,,10/25/2010,89,,1800044104,,C3,K,"Non-receipt Violation, Non-Monthly Average",08/28/2010,2,RE - Back into Compliance,10/25/2010,DD,N,DAILY MX
NM0000116,3,2200037726,3400491523,TX1,2200037726,Y,1,2205473166,,3607901345,3604420828,C,,,,,D80,"DMR, Monitor Only - Overdue",TEM3D,Low Flow Pass/Fail Static Renewal 48Hr Acute Daphnia pulex,9A,pass=0;fail=1,11/30/2012,12,,=,,05/13/2015,865,,2200113522,,C2,,,,,,,MJ,,MO AV MN
NM0020583,2,20044318,200002616,TX1,20044318,Q,1,58091332,5.73,1000665455,1000382520,,,,,,D80,"DMR, Monitor Only - Overdue",TQM6C,Coef Of Var Static Renewal 48Hr Acute Pimephales promelas,23,%,03/31/2006,3,,=,,05/16/2006,31,,20210366,5.73,C1,,,,,,,4E,,48HR MIN
NM0020583,1,20044319,600713086,TX1,20044319,S,1,58091642,2.7,43877437,27618328,,,,,,D80,"DMR, Monitor Only - Overdue",TPP3B,NOEC Sub-Lethal Static Renewal 7 Day Chronic Ceriodaphnia dubia,23,%,06/30/2003,6,,,,09/12/2003,59,,20210371,2.7,C1,,,,,,,4E,,48HR MIN
NM0028762,3,3600771189,3641783657,001,3600771189,Q,1,3662550673,,3688124721,3647589504,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,03/31/2019,3,,,,04/18/2019,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2019,9,RE - Manual by Back into Compliance/Administratively Resolved,05/29/2019,DD,N,DAILY MX
NM0028762,3,3600771189,3641783657,001,3600771189,Q,1,3662550673,,3688124721,3647589504,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,03/31/2019,3,,,,04/18/2019,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2019,9,RE - Manual by Back into Compliance/Administratively Resolved,05/29/2019,DD,N,DAILY MX
NM0028762,3,3600771189,3641783657,001,3600771189,Q,1,3662550673,,3688124721,3647589504,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,03/31/2019,3,,,,04/18/2019,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2019,9,RE - Manual by Back into Compliance/Administratively Resolved,05/29/2019,DD,N,DAILY MX
NM0020583,0,3602878711,3685992834,001,3602878711,A,1,3920643111,5,3864008117,3743227956,,,30,,,E90,"DMR, Limited - Numeric Violation",00310,"BOD, 5-day, 20 deg. C",19,mg/L,01/31/2026,1,99999,>,19,02/13/2026,,,3606239979,5,C2,,,,,,,3C,A,30DA AVG
NM0020583,1,20044319,600702364,TX1,20044319,S,1,58091473,2.7,43877523,27618294,,,2,,,D90,"DMR, Limited - Overdue",22414,Whole effluent toxicity,23,%,12/31/2005,6,,,,03/01/2006,45,,20210367,2.7,C2,,,,,,,MJ,,MO AV MN
NM0028762,1,20044410,1401067215,001,20044410,A,1,1000774000,1.6,1403077691,1401739107,,,.5,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",19,mg/L,01/31/2009,1,220,=,,04/21/2009,,,600097487,1.6,C2,T,TRC Limitations Exceeded,02/28/2009,2,RE - Back into Compliance,05/31/2009,MK,A,MO AVG
NM0000116,3,2200037726,2602759703,004,2200037726,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",50050,"Flow, in conduit or thru treatment plant",03,MGD,10/31/2011,1,,,,,,,2200113553,,Q2,K,"Non-receipt Violation, Non-Monthly Average",02/28/2012,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),02/28/2014,DD,N,DAILY MX
NM0020583,3,2200016809,3604565746,TX1,2200016809,Q,1,3651140140,32,3626637161,3614968192,,,,,,D80,"DMR, Monitor Only - Overdue",TOM3D,NOAEC Lethal Statis Renewal 48 Hr Acute Daphnia pulex,23,%,06/30/2016,3,,=,23,08/25/2016,41,,2200047803,32,C2,,,,,,,MJ,,MO AV MN
NM0020583,4,3600830134,3631991887,001,3600830134,A,A,3628323844,3000,3650644585,3628431084,,,.019,NOPRMT,"Discharge, Emission Or Activity WO Required Permit",E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,11/30/2017,1,15689,=,28,12/15/2017,,,3601680585,3.00000014,C3,,,,,,,IA,N,INST MAX
NM0020583,4,3600830134,3631991887,001,3600830134,A,A,3628323844,3000,3650644585,3628431084,,,.019,SSO,Sanitary Sewer Overflows,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,11/30/2017,1,15689,=,28,12/15/2017,,,3601680585,3.00000014,C3,,,,,,,IA,N,INST MAX
NM0028762,1,20044410,1400734914,001,20044410,A,A,606948560,37,1401772786,1401006942,,,.019,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,10/31/2008,1,95,=,,01/22/2009,,,600097488,.037,C3,R,"TRC Limitations Exceeded, Non-Monthly Average",11/30/2008,2,RE - Back into Compliance,03/31/2009,IA,N,INST MAX
NM0000116,3,2200037726,3600285012,004,2200037726,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",50050,"Flow, in conduit or thru treatment plant",03,MGD,09/30/2014,1,,,,,,,2200113553,,Q1,N,Non-Receipt of DMR/Schedule Report,11/28/2014,B,RE - Manual by EPA/State/Tribal Action,12/31/2016,3C,A,30DA AVG
NM0000116,1,20044287,200000815,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",01042,"Copper, total [as Cu]",19,mg/L,02/28/2006,1,,,,,,,20209088,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0000116,3,2200037726,2602759664,001,2200037726,A,1,,,,,,,9,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,10/31/2011,1,,,,,,,2200113507,,C3,K,"Non-receipt Violation, Non-Monthly Average",02/28/2012,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),02/28/2014,MB,N,MAXIMUM
NM0000116,3,2200037726,3600284992,004,2200037726,A,1,,,,,,,9,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,08/31/2014,1,,,,,,,2200113551,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2014,B,RE - Manual by EPA/State/Tribal Action,12/31/2016,MB,N,MAXIMUM
NM0020583,0,3602878711,3682376215,001,3602878711,A,1,3920643770,50,3840988768,3730333646,,,.022,,,E90,"DMR, Limited - Numeric Violation",00720,"Cyanide, total [as CN]",19,mg/L,03/31/2025,1,127,=,28,04/11/2025,,,3606350737,.05,C3,,,,,,,DD,N,DAILY MX
NM0020583,1,20044319,21433474,001,20044319,A,A,58087834,1.62,43874899,27617566,,,.099,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,03/31/2003,1,1536,,,04/16/2003,1,,20210291,1.62,C3,,,,,,,IA,N,INST MAX
NM0000116,3,2200037726,3600658708,TX1,2200037726,Y,1,2205473188,,3607901458,3604420895,E,,,,,D80,"DMR, Monitor Only - Overdue",TOM3D,NOAEC Lethal Statis Renewal 48 Hr Acute Daphnia pulex,23,%,11/30/2014,12,,=,,05/13/2015,135,,2200113518,,C2,,,,,,,MJ,,MO AV MN
NM0028762,1,20044410,1400197977,001,20044410,A,1,606948510,.81,1000346036,1000200109,,,.5,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",19,mg/L,03/31/2008,1,62,=,,04/16/2008,,,600097487,.81,C2,T,TRC Limitations Exceeded,07/31/2008,2,RE - Back into Compliance,10/31/2008,MK,A,MO AVG
