NPDES_ID,VERSION_NMBR,ACTIVITY_ID,NPDES_VIOLATION_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,VIOLATION_TYPE_CODE,VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_DESC,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
NM0020583,2,20044318,200002608,TX1,20044318,Q,1,58091172,31.2,1000665450,1000382517,,,,,,D80,"DMR, Monitor Only - Overdue",TOM6C,NOAEC Lethal Static Renewal 48Hr acute Pimephales promelas,23,%,03/31/2006,3,,=,,05/16/2006,31,,20210364,31.2,C1,,,,,,,4E,,48HR MIN
NM0020583,0,3602878711,3689070790,TX1,3602878711,Q,1,3920662116,31,3867141974,3744889860,,,,,,D80,"DMR, Monitor Only - Overdue",TOM6C,NOAEC Lethal Static Renewal 48Hr acute Pimephales promelas,23,%,02/28/2026,3,,=,23,06/15/2026,92,,3606351404,31,C3,K,"Non-receipt Violation, Non-Monthly Average",04/15/2026,2,RE - Back into Compliance,06/15/2026,VA,N,VALUE
NM0020583,1,20044319,21433308,001,20044319,A,1,58086533,35.92,43873713,27617306,,,30,,,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,01/31/2001,1,20,,,02/20/2001,5,,20210287,35.92,C2,C,Chronic Violation,03/31/2001,2,RE - Back into Compliance,06/30/2001,3C,A,30DA AVG
NM0000116,3,2200037726,3602635967,001,2200037726,A,1,2205473106,1,3614630539,3608196236,,,.00075,,,E90,"DMR, Limited - Numeric Violation",01105,"Aluminum, total [as Al]",19,mg/L,09/30/2015,1,33,=,,10/30/2015,2,,2200113509,.001,C3,,,,,,,DD,N,DAILY MX
NM0028762,3,3600771189,3630256344,001,3600771189,A,1,3600454418,11,3629483582,3616574226,,,.019,,,D90,"DMR, Limited - Overdue",50060,"Chlorine, total residual",19,mg/L,09/30/2016,1,,=,28,10/17/2017,354,,3601482269,.011,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2016,2,RE - Back into Compliance,10/17/2017,DD,N,DAILY MX
NM0020583,2,20044318,1800826926,001,20044318,A,1,1400891233,470,1802423893,1801362369,,,200,EFF,"Effluent Limit Violations,Not Otherwise Specified",E90,"DMR, Limited - Numeric Violation",74055,"Coliform, fecal general",30,MPN/100mL,09/30/2009,1,135,=,,10/16/2009,1,,20210283,470,C3,,,,,,,DD,N,DAILY MX
NM0020583,2,20044318,1800826926,001,20044318,A,1,1400891233,470,1802423893,1801362369,,,200,PRMTVL,Violation Of A Permit Requirement,E90,"DMR, Limited - Numeric Violation",74055,"Coliform, fecal general",30,MPN/100mL,09/30/2009,1,135,=,,10/16/2009,1,,20210283,470,C3,,,,,,,DD,N,DAILY MX
NM0020583,3,2200016809,3405785899,001,2200016809,A,2,2203563776,412,3425378518,3414343263,,,400,,,E90,"DMR, Limited - Numeric Violation",70295,"Solids, total dissolved",19,mg/L,09/30/2014,1,3,=,19,10/09/2014,,,2200047762,412,C2,C,Chronic Violation,09/30/2014,2,RE - Back into Compliance,09/30/2016,3C,A,30DA AVG
NM0000116,2,20044286,2200766597,001,20044286,A,1,57976534,,2602330270,2601309542,C,,,,,D80,"DMR, Monitor Only - Overdue",01147,"Selenium, total [as Se]",19,mg/L,08/31/2010,1,,=,,05/27/2011,211,,20209081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2010,2,RE - Back into Compliance,05/27/2011,DD,N,DAILY MX
NM0028762,3,3600771189,3629239952,001,3600771189,Q,1,3662550645,,3644593998,3625022882,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,06/30/2017,3,,,,08/07/2017,10,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",08/28/2017,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2019,DD,N,DAILY MX
